@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.0],0.7,0.8,0.4,0.7,0.4,0.6332
[1.0],0.7,0.6,0.8,0.7,0.0429,0.0674
[1.0],0.7,0.6,0.8,0.7,0.1,0.0674
[1.0],0.9,0.5,0.5,0.9,0.7286,0.6214
[1.0],0.9,0.5,0.5,0.7,0.5571,0.6214
[1.0],0.9,0.5,0.8,0.7,0.4143,0.3139
[1.0],0.9,0.5,0.8,0.7,0.5,0.3139
[1.0],0.9,0.5,0.8,0.7,0.6429,0.3139
[1.0],0.9,0.5,0.8,0.7,0.5571,0.3139
[1.0],0.9,0.5,0.8,0.7,0.4857,0.3139
[1.0],0.7,0.8,0.8,0.7,0.7857,0.2477
[1.0],0.7,0.8,0.8,0.9,0.1286,0.0683
[1.0],0.7,0.8,0.8,0.7,0.0714,0.5983
[1.0],0.7,0.8,0.8,0.9,0.3,0.5983
[0.0],0.7,0.8,0.8,0.7,0.1571,0.5967
[0.0],0.7,0.8,0.8,0.7,0.1143,0.5967
[0.0],0.7,0.8,0.8,0.7,0.2571,0.5967
[1.0],0.9,0.8,0.8,0.7,0.6429,0.9293
[1.0],0.9,0.9,0.9,0.7,0.1714,0.7743
[0.0],0.7,0.7,0.8,0.7,0.3429,0.3981
[0.0],0.7,0.7,0.8,0.7,0.2857,0.3981
[1.0],0.9,0.8,0.8,0.9,0.1429,0.6178
[1.0],0.9,0.8,0.8,0.7,0.1429,0.6178
[1.0],0.7,0.7,0.8,0.7,0.1714,0.6235
[1.0],0.7,0.7,0.8,0.7,0.1857,0.6235
[1.0],0.7,0.7,0.8,0.7,0.1714,0.6235
[1.0],0.7,0.7,0.8,0.7,0.1143,0.6235
[0.0],0.9,0.5,0.8,0.7,0.3571,0.7839
[0.0],0.9,0.5,0.8,0.7,0.2143,0.7839
[1.0],0.9,0.8,0.7,0.7,0.6143,0.0933
[1.0],0.7,0.9,0.8,0.7,0.2286,0.7737
[1.0],0.9,0.8,0.8,0.9,0.0571,0.5697
[1.0],0.9,0.8,0.8,0.7,0.4714,0.1282
[1.0],0.9,0.8,0.8,0.7,0.0857,0.1282
[1.0],0.9,0.8,0.8,0.7,0.4714,0.1282
[1.0],0.9,0.9,0.8,0.9,0.0571,0.0521
[1.0],0.9,0.9,0.8,0.7,0.3286,0.0521
[1.0],0.9,0.7,0.8,0.7,0.2857,0.6175
[1.0],0.9,0.7,0.8,0.7,0.4857,0.6175
[1.0],0.9,0.7,0.8,0.7,0.6429,0.6175
[1.0],0.9,0.7,0.8,0.9,0.3714,0.6175
[1.0],0.7,0.9,0.8,0.7,0.3,0.6178
[1.0],0.9,0.9,0.9,0.7,0.1857,0.3539
[1.0],0.9,0.9,0.9,0.7,0.1429,0.3539
[1.0],0.9,0.9,0.9,0.7,0.2143,0.3539
[1.0],0.9,0.9,0.9,0.7,0.1857,0.3539
[0.0],0.9,0.9,0.8,0.7,0.5429,0.6028
[0.0],0.9,0.9,0.8,0.5,0.3286,0.6028
[1.0],0.9,0.9,0.8,0.7,0.1714,0.6768
[1.0],0.7,0.9,0.9,0.7,0.1143,0.9296
[1.0],0.7,0.8,0.9,0.9,0.1429,0.6265
[1.0],0.9,0.7,0.7,0.9,0.4429,0.6088
[1.0],0.9,0.9,0.8,0.7,0.1,0.5697
[1.0],0.9,0.9,0.8,0.7,0.1429,0.5697
[1.0],0.9,0.7,0.7,0.7,0.1286,0.4824
[1.0],0.9,0.8,0.8,0.9,0.5143,0.5784
[1.0],0.9,0.8,0.8,0.9,0.0571,0.5784
[1.0],0.7,0.9,0.9,0.7,0.2714,0.1815
[1.0],0.7,0.9,0.9,0.7,0.2571,0.1815
[1.0],0.7,0.9,0.9,0.7,0.6714,0.1815
[1.0],0.9,0.8,0.8,0.7,0.3571,0.613
[1.0],0.9,0.9,0.8,0.7,0.5857,0.7653
[1.0],0.9,0.9,0.8,0.7,0.5571,0.7653
[1.1],0.5,0.4,0.8,0.7,0.2571,0.5462
[1.1],0.5,0.4,0.8,0.9,0.3714,0.5462
[1.0],0.3,0.7,0.8,0.9,0.1571,0.5992
[1.0],0.3,0.7,0.8,0.7,0.2714,0.5992
[1.0],0.9,0.7,0.8,0.9,0.0429,0.5817
[1.0],0.7,0.8,0.8,0.7,0.3429,0.2507
[1.0],0.9,0.7,0.8,0.9,0.2,0.5877
[1.0],0.9,0.7,0.8,0.9,0.2286,0.5877
[1.0],0.9,0.7,0.8,0.7,0.2429,0.5877
[1.0],0.9,0.5,0.8,0.7,0.2286,0.7231
[0.0],0.9,0.5,0.9,0.7,0.5286,0.5998
[0.0],0.9,0.5,0.9,0.7,0.1286,0.5998
[1.0],0.9,0.9,0.8,0.7,0.2571,0.5396
[1.0],0.9,0.9,0.8,0.7,0.2714,0.5396
[1.0],0.9,0.9,0.8,0.7,0.6429,0.5396
[1.0],0.7,0.9,0.8,0.7,0.4857,0.04
[1.0],0.7,0.9,0.8,0.7,0.4286,0.04
