classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Em Obras,Automóvel,"0,0857","0,1664"
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Em Obras,Automóvel,"0,0857","0,1664"
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Em Obras,Automóvel,"0,1571","0,1664"
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Em Obras,Automóvel,"0,0571","0,1664"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,5571","0,2031"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,5429","0,2031"
Com Vítimas Feridas,Pleno dia,Chuva,Retorno Regulamentado,Automóvel,"0,3143","0,6329"
Com Vítimas Feridas,Pleno dia,Chuva,Retorno Regulamentado,Automóvel,"0,2571","0,6329"
Com Vítimas Feridas,Pleno dia,Chuva,Retorno Regulamentado,Automóvel,"0,4714","0,6329"
Sem Vítimas,Pleno dia,Nublado,Aclive,Automóvel,"0,4143","0,6043"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Camioneta,"0,2","0,6058"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2286","0,6058"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5429","0,6359"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Automóvel,"0,7","0,5245"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Automóvel,"0,7286","0,5245"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Automóvel,"0,4571","0,5245"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Caminhonete,"0,6286","0,5245"
Sem Vítimas,Pleno dia,Chuva,Reta,Caminhonete,"0,5286","0,9759"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2286","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1286","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Bicicleta,"0,8714","0,6172"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2857","0,291"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Camioneta,"0,4429","0,291"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Camioneta,"0,2571","0,291"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Camioneta,"0,2857","0,291"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,7","0,5832"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,4571","0,5832"
